Step,A_Role-Conforming,A_Norm-Breaking,B_Role-Conforming,B_Norm-Breaking
826,255,245,226,274
827,261,239,261,239
828,252,248,231,269
829,249,251,259,241
830,243,257,266,234
831,239,261,251,249
832,256,244,263,237
833,260,240,240,260
834,236,264,245,255
835,269,231,270,230
836,262,238,240,260
837,275,225,231,269
838,255,245,233,267
839,238,262,260,240
840,223,277,241,259
841,260,240,242,258
842,241,259,242,258
843,258,242,239,261
844,260,240,258,242
845,253,247,247,253
846,253,247,255,245
847,254,246,265,235
848,234,266,263,237
849,251,249,246,254
850,246,254,235,265
851,261,239,241,259
852,262,238,240,260
853,269,231,238,262
854,254,246,254,246
855,263,237,257,243
856,261,239,253,247
857,232,268,263,237
858,243,257,250,250
859,259,241,231,269
860,232,268,259,241
861,265,235,248,252
862,249,251,254,246
863,249,251,263,237
864,244,256,261,239
865,258,242,253,247
866,257,243,260,240
867,242,258,260,240
868,244,256,244,256
869,258,242,247,253
870,238,262,274,226
871,242,258,255,245
872,267,233,253,247
873,246,254,254,246
874,245,255,244,256
875,236,264,245,255
876,239,261,263,237
877,240,260,242,258
878,249,251,263,237
879,268,232,255,245
880,256,244,255,245
881,263,237,247,253
882,241,259,248,252
883,258,242,259,241
884,271,229,251,249
885,228,272,261,239
886,245,255,257,243
887,273,227,252,248
888,249,251,229,271
889,226,274,242,258
890,253,247,255,245
891,263,237,244,256
892,268,232,241,259
893,248,252,237,263
894,244,256,232,268
895,247,253,245,255
896,261,239,250,250
897,248,252,273,227
898,260,240,253,247
899,266,234,239,261
900,246,254,260,240
901,254,246,245,255
902,245,255,265,235
903,259,241,250,250
904,256,244,256,244
905,269,231,244,256
906,244,256,234,266
907,250,250,227,273
908,233,267,247,253
909,262,238,249,251
910,238,262,252,248
911,253,247,274,226
912,243,257,256,244
913,224,276,252,248
914,246,254,254,246
915,251,249,230,270
916,219,281,265,235
917,226,274,229,271
918,236,264,254,246
919,233,267,240,260
920,249,251,246,254
921,231,269,247,253
922,240,260,261,239
923,240,260,248,252
924,235,265,264,236
925,255,245,255,245
926,254,246,255,245
927,249,251,250,250
928,250,250,257,243
929,257,243,273,227
930,251,249,255,245
931,261,239,252,248
932,253,247,247,253
933,265,235,253,247
934,250,250,242,258
935,236,264,270,230
936,243,257,248,252
937,270,230,253,247
938,250,250,232,268
939,248,252,253,247
940,241,259,252,248
941,250,250,251,249
942,249,251,250,250
943,266,234,245,255
944,272,228,263,237
945,257,243,259,241
946,243,257,254,246
947,254,246,257,243
948,248,252,255,245
949,257,243,251,249
950,244,256,241,259
951,250,250,258,242
952,257,243,251,249
953,245,255,257,243
954,233,267,242,258
955,256,244,236,264
956,239,261,239,261
957,244,256,263,237
958,248,252,243,257
959,261,239,248,252
960,255,245,261,239
961,239,261,246,254
962,239,261,261,239
963,234,266,251,249
964,257,243,271,229
965,251,249,265,235
966,249,251,252,248
967,246,254,256,244
968,241,259,242,258
969,248,252,246,254
970,244,256,278,222
971,254,246,260,240
972,257,243,243,257
973,243,257,234,266
974,251,249,246,254
975,249,251,265,235
976,256,244,245,255
977,249,251,242,258
978,260,240,242,258
979,254,246,232,268
980,257,243,232,268
981,265,235,247,253
982,238,262,258,242
983,248,252,261,239
984,243,257,257,243
985,258,242,228,272
986,257,243,262,238
987,255,245,256,244
988,244,256,267,233
989,247,253,254,246
990,258,242,245,255
991,243,257,246,254
992,236,264,249,251
993,260,240,255,245
994,235,265,241,259
995,252,248,246,254
996,257,243,244,256
997,261,239,258,242
998,250,250,241,259
999,249,251,246,254
1000,243,257,252,248
1001,230,270,259,241
1002,268,232,254,246
1003,235,265,242,258
1004,244,256,245,255
1005,258,242,250,250
1006,247,253,238,262
1007,240,260,244,256
1008,254,246,258,242
1009,238,262,242,258
1010,270,230,226,274
1011,236,264,238,262
1012,269,231,257,243
1013,258,242,254,246
1014,240,260,275,225
1015,248,252,231,269
1016,251,249,249,251
1017,234,266,243,257
1018,257,243,248,252
1019,253,247,251,249
1020,245,255,261,239
1021,231,269,246,254
1022,240,260,237,263
1023,248,252,245,255
1024,258,242,234,266
1025,254,246,260,240
1026,257,243,241,259
1027,230,270,245,255
1028,252,248,258,242
1029,256,244,250,250
1030,270,230,245,255
1031,253,247,257,243
1032,230,270,241,259
1033,254,246,239,261
1034,247,253,255,245
1035,238,262,267,233
1036,243,257,248,252
1037,248,252,251,249
1038,258,242,263,237
1039,253,247,242,258
1040,254,246,245,255
1041,254,246,237,263
1042,267,233,248,252
1043,257,243,243,257
1044,259,241,257,243
1045,242,258,246,254
1046,236,264,248,252
1047,264,236,254,246
1048,245,255,258,242
1049,257,243,246,254
1050,264,236,230,270
1051,242,258,252,248
1052,254,246,270,230
1053,260,240,256,244
1054,251,249,261,239
1055,236,264,246,254
1056,249,251,250,250
1057,251,249,257,243
1058,237,263,246,254
1059,261,239,266,234
1060,258,242,255,245
